val_loss,val_acc,epoch,step,test_loss,test_acc
0.2961505949497223,0.9129999876022339,0,859,,
0.22384005784988403,0.9358000159263611,1,1719,,
0.18931691348552704,0.944599986076355,2,2579,,
,,3,2580,0.1719546914100647,0.9470000267028809
