val_loss,val_acc,epoch,step,test_loss,test_acc
0.30859971046447754,0.9118000268936157,0,859,,
0.23357312381267548,0.9309999942779541,1,1719,,
0.18903666734695435,0.9434000253677368,2,2579,,
,,3,2580,0.17238597571849823,0.9451000094413757
